company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
Visary Capital,"We partner closely with world class founders of early stage technology companies across multiple industries, with a focus on fintech, infrastructure, future of work, and digital assets.",https://visary.capital/,info@visary.capital,Faizan J. Khan,Connecticut,Mostly Follow,-,Software / Code,Seed,-,-,-,"Financial Services / Payments
IaaS
Future of Work
Web3 / Blockchain",-,https://www.linkedin.com/company/visary-capital/about/,https://www.crunchbase.com/organization/visary-capital
Visible Hands,We’re a VC firm that funds and empowers underrepresented founders launching high-growth startups.,https://www.visiblehands.vc/,daniel@visiblehands.vc,"Yasmin Cruz Ferrine, Daniel Acheampong, Justin Kang",Massachusetts,Mostly Follow,-,Agnostic,Seed,-,-,-,"Healthcare
Hardware
Education
SaaS
Supply Chain & Logistics
Food & Beverages
AI / ML
CleanTech / Impact / Sustainability
Financial Services / Payments
Social / Communities
Marketplaces
Consumer Goods
Future of Work
Web3 / Blockchain
Real Estate",-,https://www.linkedin.com/company/visiblehands,https://www.crunchbase.com/organization/visible-hands
Visible Ventures,"We invest in early-stage companies building superior experiences and the technologies that power the future of commerce, care, and consumer.",https://visibleventures.com/,https://airtable.com/appv9pyxaYl8nhVGn/shr2hXO0Wl56qxADz,"Lori Cashman, Suzanne Norris, Yuriy Dovzhansky, Connor Ling",Massachusetts,Mostly Follow,"$500k-1m
$250-500k
$1-3m",Software / Code,"Pre-Seed
Seed
Series A",No Target,"B2C
B2B2C",-,"SaaS
Advertising & Media
Consumer Goods
E-Commerce
Data & Analytics
Healthcare",-,https://www.linkedin.com/company/visible-ventures-llc/,https://www.crunchbase.com/organization/Visible-Ventures
VITALIZE,"We focus on the Future of Work and invest in people-first, data-driven, BIG ideas that transform how we work today",http://www.vitalize.vc/,application form at vitalize.vc,"Gale Wilkinson, Caroline Casson",Illinois,Mostly Follow,"$250-500k
$500k-1m",Software / Code,Seed,-,"B2B
B2B2C",Pre-Seed,"Data & Analytics
Education
Marketplaces
Social / Communities
SaaS
Future of Work",Hardware or D2C,https://www.linkedin.com/company/vitalizevc,https://www.crunchbase.com/organization/vitalize-vc
Vivo Capital,Vivo Capital is a healthcare investment firm focused on investing in and building high quality companies.,http://vivocapital.com/,info@vivocapital.com,"Frank Kung, Shan Fu, Hongbo Lu, Jack B. Nielsen, Michael Chang, Gaurav Aggarwal, Joseph Siletto, Daisy Xu, David Liu, Kevin Dai, Hao Dong, Rong Xie, John A. Massad, Nina Feng, Chloe Zhang, Zhongyi Lu, Fabianne Nordenson, Priscilla Sugianto, Timothy Stubbs, Yixuan Li, Sean Lo",California,Mostly Follow,-,Agnostic,"Series A
Series B",-,-,-,"Healthcare
Biotech",-,http://www.linkedin.com/company/vivo-capital,https://www.crunchbase.com/organization/vivo-capital
Volt Capital,Volt Capital is a research and community-driven crypto fund.,https://www.volt.capital/,opps@volt.capital,"Soona Amhaz, Imran K.",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/volt-capital/,https://www.crunchbase.com/organization/token-daily
Volta Energy Technologies,"Volta is a new model for investing in energy technology. Volta identifies and works with entrepreneurs and companies to solve their most important technical challenges while providing its strategic investors the opportunity to invest in and acquire the most promising of these technology companies. Volta serves investors from across sectors of the energy system, who have complementary strategic interests in identifying breakthrough energy storage-related technology that will enable ubiquitous adoption of both electric vehicles and renewable power generation.",https://plusvolta.com/,info@plusvolta.com,"Jeff Chamberlain, Jason Moede, Christopher Claxton, Michael Rochman, James Frith",Illinois,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Hardware
Energy
Natural Resources
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/volta-energy-technologies,https://www.crunchbase.com/organization/volta-energy-technologies
Walkabout Ventures,Walkabout Ventures is a seed focused venture fund investing in financial service startups. We help founders along their journey.,https://www.walkabout.vc/,jdiamond@walkabout.vc,Josh Diamond,California,Can Lead,-,Software / Code,"Pre-Seed
Seed",-,Agnostic,-,Financial Services / Payments,-,https://www.linkedin.com/company/walkabout-ventures/,https://www.crunchbase.com/organization/walkabout-ventures
Watchfire Ventures,-,https://watchfireventures.com/,-,"Sean Koffel, Jack Mosbacher",California,Mostly Follow,-,-,Seed,-,-,-,-,-,https://www.linkedin.com/company/watchfire-ventures,https://www.crunchbase.com/organization/watchfire-ventures
Waterline Ventures,Waterline invests in early-stage technology and service-enabled technology companies in the healthcare space.,http://waterlineventures.com/,info@waterlineventures.com,"Robbie Greenglass, Bob Higgins, Jack Shields",Massachusetts,Mostly Follow,-,Agnostic,"Seed
Series A
Series B",-,-,-,Healthcare,-,https://www.linkedin.com/company/waterline-ventures,https://www.crunchbase.com/organization/waterline-ventures
Watershed Capital,Watershed Capital is a private equity firm that invests in companies of all stages of development.,http://www.watershedcapital.com/,-,Holt Westbrook,Texas,Mostly Follow,-,Agnostic,"Seed
Series A
Series B",-,-,-,CleanTech / Impact / Sustainability,-,https://www.linkedin.com/company/watershed-capital/about/,https://www.crunchbase.com/organization/watershed-capital
Watertower Ventures,We invest in mission driven founders who are creating tomorrow's industry defining businesses that make people and work better.,http://www.watertowerventures.com/,info@watertowerventures.com,"Derek Norton, Jeremy Milken, Idan Levy",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"Marketplaces
Real Estate
AI / ML
Social / Communities
Data & Analytics
Web3 / Blockchain
E-Commerce",-,https://www.linkedin.com/company/watertowerventures/,https://www.crunchbase.com/organization/watertower-ventures
Wave Financial Group,"Wave Digital Assets is a digital asset management firm with a unique combination of venture capital, fund and wealth management competencies investing in crypto.",https://www.wavegp.com/,info@wavegp.com,"David Siemer, Les Borsai, Benjamin Tsai, Matteo Dante Perruccio",California,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/wave-financial/,https://www.crunchbase.com/organization/wave-financial-group
Wavemaker 360,We invest in healthcare disruptors – the entrepreneurs that see how the industry is transforming itself and want to make a big difference.,https://www.wavemaker360.com/,Bkadota@wavemaker360.com,"John Nackel, Jay Goss",California,Mostly Lead,"$250-500k
$500k-1m",Agnostic,"Seed
Series A",-,-,-,Healthcare,We subtract bio-pharma as the only sector of healthcare we don’t focus on.,https://www.linkedin.com/company/wavemaker-three-sixty-health,https://www.crunchbase.com/organization/wavemaker-360
Webb Investment Network,We partner with ambitious and curious early-stage founders who want to learn and grow as leaders.,http://www.winfunding.com/,-,"Maynard Webb, Jeremy Schneider, Jonathan Pines",California,Mostly Follow,$500k-1m,Agnostic,"Seed
Series A",-,-,-,"Data & Analytics
AI / ML
Privacy & Security
Healthcare
Education
Advertising & Media
Hardware",-,https://www.linkedin.com/company/webb-investment-network,https://www.crunchbase.com/organization/webb-investment-network
Weekend Fund,We invest broadly but we're particularly attracted to companies that are capitalizing on a consumer behavior or technology shift.,http://weekend.fund/,ryan@weekend.fund,"Ryan Hoover, ‍Vedika Jain",California,Mostly Follow,"$100-250k
$250-500k",Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"Future of Work
Marketplaces
Healthcare
Data & Analytics",-,https://www.linkedin.com/company/weekend-fund/about/,https://www.crunchbase.com/organization/weekend-fund
Western Technology Investment," As early partners to the world’s innovators and entrepreneurs, we have been stable capital providers from the early days of the semiconductor industry, through the emergence of the internet, and across multiple economic cycles.",http://www.westerntech.com/,info@westerntech.com,"Dave Gravano, David Wanek, Jon Beizer, Josh Brody, Maurice Werdegar, Rudy Ruano",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"CleanTech / Impact / Sustainability
Consumer Goods
Education
SaaS
Financial Services / Payments
Food & Beverages
Hardware
Healthcare
Advertising & Media
Real Estate
Supply Chain & Logistics
Future of Work",-,https://www.linkedin.com/company/western-technology-investment/,https://www.crunchbase.com/organization/western-technology-investment
WestWave Capital,"WestWave Capital invests in Pre-seed and Seed enterprise companies building deep technology solutions. We focus on SaaS, Security, Cloud Infrastructure, Blockchain, Analytics, and IoT companies.",https://www.westwavecapital.com/,ideas@westwavecapital.com,"Warren Weiss, Gaurav Manglik, Rohan Puranik",California,Mostly Follow,-,Agnostic,"Pre-Seed
Seed",-,-,-,"Advertising & Media
IaaS
Hardware
SaaS
Privacy & Security",-,https://www.linkedin.com/company/westwave/,https://www.crunchbase.com/organization/westwave-capital
White Star Capital,"White Star Capital is a global multi-stage technology investment platform that invests in exceptional entrepreneurs building ambitious, international businesses.",https://www.whitestarcapital.com/,info@whitestarcapital.com,"Eric Martineau-Fortin, Jean-Francois Marcoux, Matthieu Lattes, Nicholas Stocks, Christophe Bourque, Cristina Ventura, Joe Quinn Wei, Eddie Lee, Alex Wilson",New York,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"E-Commerce
Healthcare
Marketplaces
Financial Services / Payments
SaaS",-,https://www.linkedin.com/company/white-star-capital,https://www.crunchbase.com/organization/white-star-capital
Will Ventures,"WE’RE EARLY-STAGE TEAMMATES FOR CONSUMER, HEALTH, AND MEDIA STARTUPS.",https://willventures.com/,-,"Ben Gardner, Isaiah Kacyvenski, Kris Martin, Brian Reilly",Massachusetts,Mostly Lead,-,Agnostic,Seed,-,-,-,"Consumer Goods
Healthcare
Advertising & Media",-,https://www.linkedin.com/company/will-ventures,https://www.crunchbase.com/organization/will-ventures
Willow Growth Partners,The right early stage capital for transformative consumer brands and the technologies that power them.,https://willowgrowth.com/,hello@willowgrowth.com,"Deborah Benton, Amanda Schutzbank",California,Mostly Follow,"$500k-1m
$1-3m",Agnostic,Series A,-,-,-,"Healthcare
Consumer Goods
Food & Beverages",-,https://www.linkedin.com/company/willow-growth-partners,https://www.crunchbase.com/organization/willow-growth-partners
Wing VC,The Ai-First Transformation Of Business Enables Our Best Work,http://wing.vc/,info@wing.vc,"Sara Choi, Zach Dewitt, Jake Flomenberg, Gaurav Garg, Tanay Jaipuria, Peter Wagner, Chris Zeoli",California,Mostly Follow,-,Software / Code,Seed,-,-,-,"Data & Analytics
AI / ML
Web3 / Blockchain
IaaS
Future of Work",-,https://www.linkedin.com/company/wing-venture-capital,https://www.crunchbase.com/organization/wing-venture-capital
Winklevoss Capital,"At Winklevoss Capital, we believe in determined entrepreneurs. Risk-taking is just in their blood. By providing guidance, relationships and capital, we reinforce their pursuit of a frictionless world and a better human experience. Because those who dare to fail greatly, dare to achieve greatly.",http://winklevosscapital.com/,press@winklevosscapital.com,"Tyler Winklevoss, Cameron Winklevoss",New York,Mostly Follow,"$100-250k
$250-500k
$500k-1m",Agnostic,"Seed
Series A",-,-,-,"AI / ML
Biotech
Consumer Goods
Web3 / Blockchain
Education
SaaS
Gaming
Advertising & Media
Social / Communities",-,https://www.linkedin.com/company/winklevoss-capital,https://www.crunchbase.com/organization/winklevoss-capital
Wireframe Ventures,We specialize in helping extraordinary seed-stage founders on a mission to improve the health of people and planet,http://www.wireframevc.com/,info@wireframevc.com,"Harsh Patel, Paul Straub, Lily Bernicker",California,Mostly Lead,"$500k-1m
$1-3m",Agnostic,"Pre-Seed
Seed",7-10%,Agnostic,-,"Biotech
Energy
AI / ML
Agriculture & Farming
Hardware
CleanTech / Impact / Sustainability
Healthcare
Natural Resources
Supply Chain & Logistics",-,https://www.linkedin.com/company/wireframe-ventures,https://www.crunchbase.com/organization/wireframevc
Wischoff Ventures,"Wischoff Ventures invests in early stage, high growth technology companies bringing massive offline industries online.",https://www.wischoff.com/,https://airtable.com/shr28rdgNSzNC7ioU,Nichole Wischoff,New York,Can Lead,$500k-1m,Agnostic,"Pre-Seed
Seed",-,-,-,"SaaS
Industrial & Manufacturing
Marketplaces
Financial Services / Payments
IaaS",-,https://www.linkedin.com/company/nichole-wischoff/,https://www.crunchbase.com/organization/wischoff-ventures
WndrCo,"WndrCo is a technology investment firm that is focused on the Consumerization of Software. We build and partner with companies whose products are revolutionizing how people live and work. We invest where we’ve operated - Future of Work Software, Consumer Technology, and Cybersecurity - so that we can make an impact beyond invested capital.",https://www.wndrco.com/,-,"Sujay Jaswa, Jeffrey Katzenberg, Chenli Wang, Anthony Saleh, Jeffrey Nykun, Jen Crystal",California,Mostly Lead,-,Agnostic,Seed,-,-,-,"Privacy & Security
Future of Work
Consumer Goods",-,https://www.linkedin.com/company/wndrco/,https://www.crunchbase.com/organization/wndrco-llc
Wollef Ventures,"We are open-minded, new ideas are always welcome. We approach every day with passion and boldness, taking risks and acting innovatively.",https://wollefvc.com/,info@wollefvc.com,"Sol Bertlshofer, Cristóbal Perdomo, Eric Pérez-Grovas",Distrito Federal,Mostly Lead,-,Agnostic,Seed,-,-,Pre-Seed,"Advertising & Media
E-Commerce
Financial Services / Payments
Food & Beverages
Healthcare
Supply Chain & Logistics
Marketplaces
Real Estate
SaaS",-,https://www.linkedin.com/company/jaguar-ventures/,https://www.crunchbase.com/organization/jaguar-ventures
Wonder Ventures,Wonder Ventures invests in entrepreneurs who have great ideas. Who build the world’s most innovative technology companies in order to address the world’s toughest challenges. Who think of long-term solutions that span generations.,http://www.wondervc.com/,-,"Dustin Rosen, Valentina Rodriguez",California,Mostly Follow,-,Software / Code,Seed,-,-,Pre-Seed,"SaaS
Web3 / Blockchain
CleanTech / Impact / Sustainability
Financial Services / Payments
Healthcare
Marketplaces
Real Estate
Supply Chain & Logistics",-,https://www.linkedin.com/company/wonder-ventures/,https://www.crunchbase.com/organization/wonder-ventures
